Subject  ERD_C3_mu  ERD_C4_mu  ERD_mean_mu
    s01       9.72      24.51        17.11
    s02     -24.78     -26.02       -25.40
    s03     -20.89      -9.57       -15.23
    s04     -32.47     -14.67       -23.57
    s05     -17.66      -9.15       -13.41
    s06     -41.23     -24.60       -32.92
    s07     -31.38     -26.16       -28.77
    s08     -10.24     -23.65       -16.94
    s09     -15.86      -9.61       -12.74
    s10       6.82      17.80        12.31
    s11     -42.30     -32.61       -37.46
    s12      -7.22     -17.88       -12.55
    s13      -3.48     -28.36       -15.92
    s14     -12.76     -30.15       -21.46
    s15     -24.73     -14.29       -19.51
    s16     -21.75     -19.69       -20.72
    s17     -10.21     -19.31       -14.76
    s18     -34.44     -30.43       -32.43
    s19       2.56       1.54         2.05
    s20     -33.62     133.31        49.85
    s21     -20.86     -24.99       -22.93
    s22     -79.62     -62.76       -71.19
    s23      31.14       6.01        18.58
    s24     -35.26     -23.28       -29.27
    s25     -30.35     -36.49       -33.42
    s26      -9.38      -4.49        -6.94
    s27     -19.15     -22.95       -21.05
    s28      -7.43     -18.12       -12.77
    s29     -30.93     -14.15       -22.54
    s30      -9.33       3.57        -2.88
    s31     -29.61     -20.09       -24.85
    s32      -9.66       9.56        -0.05
    s33       7.98       8.24         8.11
    s34       3.91       3.28         3.59
    s35     -31.42      -2.07       -16.75
    s36     -17.30     -50.73       -34.01
    s37     -18.81     -20.44       -19.63
    s38     -11.92      -3.57        -7.75
    s39     -10.05     -18.33       -14.19
    s40       0.66       1.05         0.86
